日付,銘柄名,コード,業種,TOPIXに占める個別銘柄のウエイト,ニューインデックス区分
20241031,ライト工業,1926,建設業,0.0115%,TOPIX Small 1
20241031,積水ハウス,1928,建設業,0.2861%,TOPIX Large70
20241031,日特建設,1929,建設業,0.0025%,TOPIX Small 2
20241031,北陸電気工事,1930,建設業,0.0020%,TOPIX Small 2
20241031,ユアテック,1934,建設業,0.0073%,TOPIX Small 2
20241031,日本リーテック,1938,建設業,0.0021%,TOPIX Small 2
20241031,四電工,1939,建設業,0.0041%,TOPIX Small 2
20241031,中電工,1941,建設業,0.0127%,TOPIX Small 1
20241031,関電工,1942,建設業,0.0312%,TOPIX Mid400
20241031,きんでん,1944,建設業,0.0563%,TOPIX Mid400
20241031,東京エネシス,1945,建設業,0.0031%,TOPIX Small 2
20241031,トーエネック,1946,建設業,0.0040%,TOPIX Small 2
20241031,住友電設,1949,建設業,0.0102%,TOPIX Small 1
20241031,日本電設工業,1950,建設業,0.0089%,TOPIX Small 2
20241031,エクシオグループ,1951,建設業,0.0422%,TOPIX Mid400
20241031,新日本空調,1952,建設業,0.0056%,TOPIX Small 2
20241031,九電工,1959,建設業,0.0302%,TOPIX Mid400
20241031,三機工業,1961,建設業,0.0127%,TOPIX Small 1
20241031,日揮ホールディングス,1963,建設業,0.0332%,TOPIX Mid400
20241031,中外炉工業,1964,建設業,0.0024%,TOPIX Small 2
20241031,ヤマト,1967,建設業,0.0002%,TOPIX Small 2
20241031,太平電業,1968,建設業,0.0083%,TOPIX Small 2
20241031,高砂熱学工業,1969,建設業,0.0302%,TOPIX Mid400
20241031,三晃金属工業,1972,建設業,0.0002%,TOPIX Small 2
20241031,ＮＥＣネッツエスアイ,1973,情報・通信業,0.0329%,TOPIX Small 1
20241031,朝日工業社,1975,建設業,0.0030%,TOPIX Small 2
20241031,明星工業,1976,建設業,0.0057%,TOPIX Small 2
20241031,大氣社,1979,建設業,0.0159%,TOPIX Small 1
20241031,ダイダン,1980,建設業,0.0101%,TOPIX Small 1
20241031,日比谷総合設備,1982,建設業,0.0072%,TOPIX Small 2
20241031,ニップン,2001,食料品,0.0185%,TOPIX Small 1
20241031,日清製粉グループ本社,2002,食料品,0.0474%,TOPIX Mid400
20241031,日東富士製粉,2003,食料品,0.0031%,TOPIX Small 2
20241031,昭和産業,2004,食料品,0.0062%,TOPIX Small 2
20241031,鳥越製粉,2009,食料品,0.0002%,TOPIX Small 2
20241031,中部飼料,2053,食料品,0.0050%,TOPIX Small 2
20241031,フィード・ワン,2060,食料品,0.0032%,TOPIX Small 2
20241031,東洋精糖,2107,食料品,0.0001%,TOPIX Small 2
20241031,日本甜菜製糖,2108,食料品,0.0034%,TOPIX Small 2
20241031,ＤＭ三井製糖ホールディングス,2109,食料品,0.0082%,TOPIX Small 2
20241031,塩水港精糖,2112,食料品,0.0001%,TOPIX Small 2
20241031,ウェルネオシュガー,2117,食料品,0.0034%,TOPIX Small 2
20241031,ＬＩＦＵＬＬ,2120,サービス業,0.0010%,TOPIX Small 2
20241031,ＭＩＸＩ,2121,サービス業,0.0141%,TOPIX Small 1
20241031,ジェイエイシーリクルートメント,2124,サービス業,0.0071%,TOPIX Small 1
20241031,日本Ｍ＆Ａセンターホールディングス,2127,サービス業,0.0261%,TOPIX Mid400
20241031,メンバーズ,2130,サービス業,0.0009%,TOPIX Small 2
20241031,中広,2139,サービス業,0.0000%,TOPIX Small 2
20241031,ＵＴグループ,2146,サービス業,0.0091%,TOPIX Small 1
20241031,アイティメディア,2148,サービス業,0.0023%,TOPIX Small 2
20241031,ケアネット,2150,サービス業,0.0037%,TOPIX Small 2
20241031,Ｅ・Ｊホールディングス,2153,サービス業,0.0027%,TOPIX Small 2
20241031,オープンアップグループ,2154,サービス業,0.0162%,TOPIX Small 1
20241031,コシダカホールディングス,2157,サービス業,0.0096%,TOPIX Small 1
20241031,アルトナー,2163,サービス業,0.0002%,TOPIX Small 2
20241031,パソナグループ,2168,サービス業,0.0065%,TOPIX Small 1
20241031,ＣＤＳ,2169,サービス業,0.0002%,TOPIX Small 2
20241031,リンクアンドモチベーション,2170,サービス業,0.0037%,TOPIX Small 1
20241031,エス・エム・エス,2175,サービス業,0.0175%,TOPIX Mid400
20241031,サニーサイドアップグループ,2180,サービス業,0.0001%,TOPIX Small 2
20241031,パーソルホールディングス,2181,サービス業,0.0641%,TOPIX Mid400
20241031,リニカル,2183,サービス業,0.0001%,TOPIX Small 2
20241031,クックパッド,2193,サービス業,0.0013%,TOPIX Small 2
20241031,エスクリ,2196,サービス業,0.0000%,TOPIX Small 2
20241031,アイ・ケイ・ケイホールディングス,2198,サービス業,0.0001%,TOPIX Small 2
20241031,森永製菓,2201,食料品,0.0304%,TOPIX Mid400
20241031,中村屋,2204,食料品,0.0020%,TOPIX Small 2
20241031,江崎グリコ,2206,食料品,0.0328%,TOPIX Mid400
20241031,名糖産業,2207,食料品,0.0021%,TOPIX Small 2
20241031,井村屋グループ,2209,食料品,0.0034%,TOPIX Small 2
20241031,不二家,2211,食料品,0.0046%,TOPIX Small 2
20241031,山崎製パン,2212,食料品,0.0531%,TOPIX Mid400
20241031,第一屋製パン,2215,食料品,0.0000%,TOPIX Small 2
20241031,モロゾフ,2217,食料品,0.0038%,TOPIX Small 2
20241031,亀田製菓,2220,食料品,0.0072%,TOPIX Small 1
20241031,寿スピリッツ,2222,食料品,0.0312%,TOPIX Mid400
20241031,カルビー,2229,食料品,0.0398%,TOPIX Mid400
20241031,森永乳業,2264,食料品,0.0347%,TOPIX Mid400
20241031,六甲バター,2266,食料品,0.0027%,TOPIX Small 2
20241031,ヤクルト本社,2267,食料品,0.1208%,TOPIX Mid400
20241031,明治ホールディングス,2269,食料品,0.1210%,TOPIX Mid400
20241031,雪印メグミルク,2270,食料品,0.0181%,TOPIX Small 1
20241031,プリマハム,2281,食料品,0.0077%,TOPIX Small 1
20241031,日本ハム,2282,食料品,0.0580%,TOPIX Mid400
20241031,林兼産業,2286,食料品,0.0000%,TOPIX Small 2
20241031,丸大食品,2288,食料品,0.0043%,TOPIX Small 2
20241031,Ｓ　Ｆｏｏｄｓ,2292,食料品,0.0079%,TOPIX Small 1
20241031,柿安本店,2294,食料品,0.0027%,TOPIX Small 2
20241031,伊藤ハム米久ホールディングス,2296,食料品,0.0150%,TOPIX Small 1
20241031,学情,2301,サービス業,0.0023%,TOPIX Small 2
20241031,スタジオアリス,2305,サービス業,0.0027%,TOPIX Small 2
20241031,クロスキャット,2307,情報・通信業,0.0016%,TOPIX Small 2
20241031,エプコ,2311,サービス業,0.0001%,TOPIX Small 2
20241031,システナ,2317,情報・通信業,0.0135%,TOPIX Small 1
20241031,ＮＪＳ,2325,サービス業,0.0027%,TOPIX Small 2
20241031,デジタルアーツ,2326,情報・通信業,0.0086%,TOPIX Small 1
20241031,日鉄ソリューションズ,2327,情報・通信業,0.0343%,TOPIX Mid400
20241031,綜合警備保障,2331,サービス業,0.0473%,TOPIX Mid400
20241031,キューブシステム,2335,情報・通信業,0.0014%,TOPIX Small 2
20241031,いちご,2337,不動産業,0.0087%,TOPIX Small 1
20241031,日本駐車場開発,2353,不動産業,0.0069%,TOPIX Small 1
20241031,コア,2359,情報・通信業,0.0022%,TOPIX Small 2
20241031,カカクコム,2371,サービス業,0.0452%,TOPIX Mid400
20241031,アイロムグループ,2372,サービス業,0.0030%,TOPIX Small 2
20241031,セントケア・ホールディング,2374,サービス業,0.0013%,TOPIX Small 2
20241031,サイネックス,2376,サービス業,0.0000%,TOPIX Small 2
20241031,ルネサンス,2378,サービス業,0.0021%,TOPIX Small 2
20241031,ディップ,2379,サービス業,0.0126%,TOPIX Small 1
20241031,ＳＢＳホールディングス,2384,陸運業,0.0058%,TOPIX Small 1
20241031,デジタルホールディングス,2389,サービス業,0.0014%,TOPIX Small 2
20241031,新日本科学,2395,サービス業,0.0035%,TOPIX Small 2
20241031,キャリアデザインセンター,2410,サービス業,0.0001%,TOPIX Small 2
20241031,エムスリー,2413,サービス業,0.0834%,TOPIX Mid400
20241031,ツカダ・グローバルホールディング,2418,サービス業,0.0001%,TOPIX Small 2
20241031,ブラス,2424,サービス業,0.0000%,TOPIX Small 2
20241031,ウェルネット,2428,サービス業,0.0002%,TOPIX Small 2
20241031,ワールドホールディングス,2429,サービス業,0.0020%,TOPIX Small 2
20241031,ディー・エヌ・エー,2432,サービス業,0.0201%,TOPIX Mid400
20241031,博報堂ＤＹホールディングス,2433,サービス業,0.0367%,TOPIX Mid400
20241031,ぐるなび,2440,サービス業,0.0015%,TOPIX Small 2
20241031,タカミヤ,2445,サービス業,0.0016%,TOPIX Small 2
20241031,ファンコミュニケーションズ,2461,サービス業,0.0015%,TOPIX Small 2
20241031,ライク,2462,サービス業,0.0014%,TOPIX Small 2
20241031,Ａｏｂａ‐ＢＢＴ,2464,サービス業,0.0000%,TOPIX Small 2
20241031,エスプール,2471,サービス業,0.0031%,TOPIX Small 2
20241031,ＷＤＢホールディングス,2475,サービス業,0.0023%,TOPIX Small 2
20241031,手間いらず,2477,情報・通信業,0.0014%,TOPIX Small 2
20241031,ティア,2485,サービス業,0.0001%,TOPIX Small 2
20241031,ＣＤＧ,2487,サービス業,0.0000%,TOPIX Small 2
20241031,アドウェイズ,2489,サービス業,0.0011%,TOPIX Small 2
20241031,バリューコマース,2491,サービス業,0.0026%,TOPIX Small 2
20241031,インフォマート,2492,サービス業,0.0092%,TOPIX Small 1
20241031,サッポロホールディングス,2501,食料品,0.0616%,TOPIX Mid400
20241031,アサヒグループホールディングス,2502,食料品,0.3520%,TOPIX Large70
20241031,キリンホールディングス,2503,食料品,0.2386%,TOPIX Large70
20241031,シマダヤ,250A,食料品,0.0011%,TOPIX Small 2
20241031,宝ホールディングス,2531,食料品,0.0207%,TOPIX Mid400
20241031,オエノンホールディングス,2533,食料品,0.0033%,TOPIX Small 2
20241031,養命酒製造,2540,食料品,0.0021%,TOPIX Small 2
20241031,飛島ホールディングス,256A,建設業,0.0040%,TOPIX Small 2
20241031,コカ・コーラ　ボトラーズジャパンホールディングス,2579,食料品,0.0352%,TOPIX Mid400
20241031,ライフドリンク　カンパニー,2585,食料品,0.0099%,TOPIX Small 2
20241031,サントリー食品インターナショナル,2587,食料品,0.0927%,TOPIX Mid400
20241031,ダイドーグループホールディングス,2590,食料品,0.0088%,TOPIX Small 1
20241031,伊藤園,2593,食料品,0.0286%,TOPIX Mid400
20241031,キーコーヒー,2594,食料品,0.0058%,TOPIX Small 2
20241031,ユニカフェ,2597,食料品,0.0001%,TOPIX Small 2
20241031,日清オイリオグループ,2602,食料品,0.0187%,TOPIX Small 1
20241031,不二製油グループ本社,2607,食料品,0.0168%,TOPIX Mid400
20241031,かどや製油,2612,食料品,0.0001%,TOPIX Small 2
20241031,Ｊ－オイルミルズ,2613,食料品,0.0060%,TOPIX Small 2
20241031,サンエー,2659,小売業,0.0133%,TOPIX Small 1
20241031,カワチ薬品,2664,小売業,0.0054%,TOPIX Small 1
20241031,エービーシー・マート,2670,小売業,0.0359%,TOPIX Mid400
20241031,ハードオフコーポレーション,2674,小売業,0.0021%,TOPIX Small 2
20241031,高千穂交易,2676,卸売業,0.0045%,TOPIX Small 2
20241031,アスクル,2678,小売業,0.0125%,TOPIX Small 1
20241031,ゲオホールディングス,2681,小売業,0.0047%,TOPIX Small 1
20241031,アダストリア,2685,小売業,0.0134%,TOPIX Small 1
20241031,ジーフット,2686,小売業,0.0001%,TOPIX Small 2
20241031,シー・ヴイ・エス・ベイエリア,2687,小売業,0.0000%,TOPIX Small 2
20241031,オルバヘルスケアホールディングス,2689,卸売業,0.0001%,TOPIX Small 2
20241031,伊藤忠食品,2692,卸売業,0.0042%,TOPIX Small 2
20241031,くら寿司,2695,小売業,0.0129%,TOPIX Small 1
20241031,キャンドゥ,2698,小売業,0.0031%,TOPIX Small 2
20241031,エレマテック,2715,卸売業,0.0059%,TOPIX Small 2
20241031,ＩＫホールディングス,2722,小売業,0.0000%,TOPIX Small 2
20241031,パルグループホールディングス,2726,小売業,0.0192%,TOPIX Small 1
20241031,エディオン,2730,小売業,0.0210%,TOPIX Small 1
20241031,あらた,2733,卸売業,0.0144%,TOPIX Small 1
20241031,サーラコーポレーション,2734,小売業,0.0049%,TOPIX Small 2
20241031,ワッツ,2735,小売業,0.0001%,TOPIX Small 2
20241031,トーメンデバイス,2737,卸売業,0.0025%,TOPIX Small 2
20241031,ハローズ,2742,小売業,0.0047%,TOPIX Small 2
20241031,ＪＰホールディングス,2749,サービス業,0.0049%,TOPIX Small 1
20241031,フジオフードグループ本社,2752,小売業,0.0043%,TOPIX Small 1
20241031,あみやき亭,2753,小売業,0.0033%,TOPIX Small 2
20241031,東京エレクトロン　デバイス,2760,卸売業,0.0094%,TOPIX Small 1
20241031,ひらまつ,2764,小売業,0.0001%,TOPIX Small 2
20241031,円谷フィールズホールディングス,2767,卸売業,0.0092%,TOPIX Small 1
20241031,双日,2768,卸売業,0.0963%,TOPIX Mid400
20241031,アルフレッサ　ホールディングス,2784,卸売業,0.0564%,TOPIX Mid400
20241031,大黒天物産,2791,小売業,0.0089%,TOPIX Small 1
20241031,ハニーズホールディングス,2792,小売業,0.0041%,TOPIX Small 2
20241031,ファーマライズホールディングス,2796,小売業,0.0000%,TOPIX Small 2
20241031,キッコーマン,2801,食料品,0.1531%,TOPIX Mid400
20241031,味の素,2802,食料品,0.3536%,TOPIX Large70
20241031,ブルドックソース,2804,食料品,0.0024%,TOPIX Small 2
20241031,キユーピー,2809,食料品,0.0494%,TOPIX Mid400
20241031,ハウス食品グループ本社,2810,食料品,0.0255%,TOPIX Mid400
20241031,カゴメ,2811,食料品,0.0331%,TOPIX Mid400
20241031,アリアケジャパン,2815,食料品,0.0136%,TOPIX Small 1
20241031,ピエトロ,2818,食料品,0.0001%,TOPIX Small 2
20241031,エバラ食品工業,2819,食料品,0.0020%,TOPIX Small 2
20241031,やまみ,2820,食料品,0.0002%,TOPIX Small 2
20241031,ニチレイ,2871,食料品,0.0442%,TOPIX Mid400
20241031,横浜冷凍,2874,卸売業,0.0064%,TOPIX Small 2
20241031,東洋水産,2875,食料品,0.1066%,TOPIX Mid400
20241031,イートアンドホールディングス,2882,食料品,0.0029%,TOPIX Small 2
20241031,大冷,2883,食料品,0.0001%,TOPIX Small 2
20241031,ヨシムラ・フード・ホールディングス,2884,食料品,0.0019%,TOPIX Small 2
20241031,日清食品ホールディングス,2897,食料品,0.1354%,TOPIX Mid400
20241031,一正蒲鉾,2904,食料品,0.0001%,TOPIX Small 2
20241031,フジッコ,2908,食料品,0.0045%,TOPIX Small 2
20241031,ロック・フィールド,2910,食料品,0.0045%,TOPIX Small 1
20241031,日本たばこ産業,2914,食料品,0.6630%,TOPIX Core30
20241031,ケンコーマヨネーズ,2915,食料品,0.0035%,TOPIX Small 2
20241031,わらべや日洋ホールディングス,2918,食料品,0.0035%,TOPIX Small 1
20241031,なとり,2922,食料品,0.0034%,TOPIX Small 2
20241031,イフジ産業,2924,食料品,0.0001%,TOPIX Small 2
20241031,ファーマフーズ,2929,食料品,0.0033%,TOPIX Small 2
20241031,北の達人コーポレーション,2930,化学,0.0017%,TOPIX Small 2
20241031,ユーグレナ,2931,食料品,0.0066%,TOPIX Small 1
20241031,紀文食品,2933,食料品,0.0024%,TOPIX Small 2
20241031,ピックルスホールディングス,2935,食料品,0.0016%,TOPIX Small 2
20241031,スター・マイカ・ホールディングス,2975,不動産業,0.0017%,TOPIX Small 2
