ticker,market_cap_mil_jpy,shares_outstanding,dividend_yield_pct,dividend_per_share_yen,per,pbr,eps_yen,bps_yen,roe_pct,equity_ratio_pct,min_lot_price_yen,trading_unit_shares,ytd_high_yen,ytd_high_date,ytd_low_yen,ytd_low_date,asof_date
1301.T,59184,12078283,3.06,150.0,7.1,0.85,690.39,5750.68,10.74,36.5,490000,100,5220,2025-09-09,3615,2025-04-07,2025-10-24
1332.T,337581,312430277,2.59,28.0,13.43,1.24,80.43,871.66,9.65,43.6,108050,100,1092,2025-10-23,795,2025-04-07,2025-10-24
1333.T,173384,50578837,3.21,110.0,9.87,0.76,347.4,4496.74,10.65,33.7,342800,100,3600,2025-09-10,2874,2025-01-17,2025-10-24
1375.T,41826,39910700,1.53,16.0,20.79,3.72,50.4,281.71,12.61,32.7,104800,100,1239,2025-02-17,991,2025-04-07,2025-10-24
1376.T,20473,11772626,2.19,38.0,12.92,0.77,134.62,2269.87,4.85,50.7,173900,100,1859,2025-10-16,1310,2025-04-07,2025-10-24
1377.T,182778,45410750,1.86,75.0,19.34,1.06,208.09,3793.56,6.04,84.5,402500,100,4155,2025-10-08,3035,2025-04-07,2025-10-24
1379.T,63049,33359040,,,13.62,1.02,138.79,1844.12,7.96,52.8,189000,100,1986,2025-09-18,1690,2025-04-07,2025-10-24
1384.T,23135,8459000,2.56,70.0,11.23,1.59,243.53,1718.19,16.48,73.7,273500,100,2739,2025-10-24,1190,2025-01-17,2025-10-24
1414.T,269894,54745180,3.69,182.0,16.46,2.4,299.6,2058.03,14.47,81.4,493000,100,5440,2025-08-13,4439,2025-04-07,2025-10-24
1417.T,272149,91325329,2.85,85.0,12.71,1.05,234.48,2849.99,6.69,48.6,298000,100,2990,2025-10-23,1860,2025-04-07,2025-10-24
1419.T,106335,29455800,5.43,196.0,17.44,4.07,206.98,886.67,4.07,37.1,361000,100,4030,2025-05-28,3050,2025-01-17,2025-10-24
1420.T,8935,12620000,3.53,25.0,6.61,0.53,107.09,1342.15,4.45,30.3,70800,100,742,2025-03-10,600,2025-04-07,2025-10-24
1429.T,32327,34760000,3.76,35.0,14.35,2.91,64.79,320.04,18.53,43.8,93000,100,948,2025-09-02,650,2025-04-07,2025-10-24
1430.T,12642,13363540,4.65,44.0,6.46,1.19,146.48,795.76,18.32,39.2,94600,100,1058,2025-09-30,826,2025-01-17,2025-10-24
1433.T,9831,9230600,3.76,40.0,17.24,1.86,61.78,573.49,9.16,43.9,106500,100,1285,2025-08-25,882,2025-04-07,2025-10-24
1435.T,16858,91127000,1.08,2.0,15.11,1.77,12.24,104.58,10.19,70.3,18500,100,204,2025-09-24,124,2025-01-17,2025-10-24
1446.T,5829,10734200,1.47,8.0,29.53,1.75,18.39,310.24,4.98,45.6,54300,100,595,2025-03-25,500,2025-04-07,2025-10-24
1514.T,39796,67222853,2.53,15.0,22.12,1.35,26.76,438.77,15.25,96.5,59200,100,862,2025-02-04,541,2025-04-07,2025-10-24
1515.T,149005,83523190,2.05,36.6,19.5,0.99,91.51,1800.59,6.39,58.9,178400,100,1996,2025-09-30,872,2025-01-14,2025-10-24
1518.T,87140,65322000,3.45,46.0,12.86,1.11,103.74,1201.06,13.43,55.5,133400,100,1600,2025-09-30,655,2025-04-07,2025-10-24
1605.T,3587279,1259136067,3.51,100.0,9.22,0.74,308.96,3830.23,9.46,65.3,284900,100,2849,2025-10-24,1651,2025-04-09,2025-10-24
1662.T,338727,257000380,3.03,40.0,10.22,0.64,128.95,2046.18,15.73,77.4,131800,100,1352,2025-09-26,893,2025-04-07,2025-10-24
1663.T,98184,28336061,1.44,50.0,12.84,0.91,269.85,3795.26,6.61,80.6,346500,100,3985,2025-01-06,2345,2025-04-07,2025-10-24
167A.T,159732,54000000,4.73,140.0,19.75,0.91,149.75,3235.49,7.14,57.0,295800,100,3170,2025-09-12,2035,2025-04-07,2025-10-24
1712.T,31097,16827120,0.43,8.0,22.99,1.71,80.37,1081.21,7.28,60.3,184800,100,1849,2025-10-23,920,2025-04-07,2025-10-24
1716.T,15708,12000000,3.06,40.0,11.41,0.77,114.68,1709.54,7.1,86.4,130900,100,1508,2025-02-13,1240,2025-04-07,2025-10-24
1717.T,14105,12775900,3.89,43.0,14.0,2.42,78.83,455.42,17.1,69.5,110400,100,1155,2025-10-06,811,2025-04-07,2025-10-24
1719.T,315701,181021197,4.59,80.0,15.19,1.61,114.82,1085.65,16.28,46.0,174400,100,1769,2025-09-09,1118,2025-01-17,2025-10-24
1720.T,115836,106761205,3.59,39.0,15.75,1.14,68.89,947.96,6.58,37.1,108500,100,1187,2025-09-09,698,2025-04-07,2025-10-24
1721.T,519232,133000000,3.07,120.0,14.79,1.23,263.89,3170.33,8.17,69.3,390400,100,3915,2025-10-24,2850,2025-04-07,2025-10-24
1726.T,15341,45795000,4.78,16.0,11.58,1.02,28.94,329.09,8.64,35.7,33500,100,353,2025-08-07,296,2025-04-07,2025-10-24
1762.T,121517,34818578,2.58,90.0,15.58,0.89,224.02,3924.44,4.75,51.1,349000,100,3590,2025-09-26,2413,2025-04-07,2025-10-24
1766.T,196556,13472000,2.47,360.0,13.38,1.47,1090.77,9932.87,12.36,58.5,1459000,100,15200,2025-09-16,11620,2025-01-17,2025-10-24
1768.T,7590,7500000,2.96,30.0,9.07,0.82,111.56,1241.01,5.63,70.2,101200,100,1022,2025-09-05,808,2025-04-09,2025-10-24
1780.T,30980,21103514,1.77,26.0,8.86,1.18,165.74,1246.19,13.72,75.5,146800,100,1491,2025-10-23,1032,2025-04-07,2025-10-24
1786.T,60243,138809400,3.34,14.5,20.25,1.1,21.43,395.07,7.34,66.1,43400,100,438,2025-09-18,323,2025-04-07,2025-10-24
1801.T,2026737,183166472,1.36,150.0,23.53,2.2,470.28,5024.21,13.79,35.7,1106500,100,11305,2025-10-24,5793,2025-04-07,2025-10-24
1802.T,1838780,706951046,3.15,82.0,18.37,1.63,141.59,1591.09,12.65,38.1,260100,100,2624,2025-10-24,1742,2025-04-07,2025-10-24
1803.T,1486414,716689413,2.12,44.0,18.84,1.63,110.07,1273.91,7.55,34.1,207400,100,2209,2025-09-12,1166,2025-04-07,2025-10-24
1808.T,768530,300794397,3.52,90.0,12.67,1.32,201.73,1933.44,6.6,39.0,255500,100,2573,2025-09-26,1788,2025-04-07,2025-10-24
1810.T,45870,30580000,3.53,53.0,14.36,0.84,104.44,1780.43,5.55,62.6,150000,100,1518,2025-08-22,776,2025-04-07,2025-10-24
1811.T,51325,7353140,,,31.24,0.5,223.41,13873.81,3.69,46.8,698000,100,7090,2025-10-21,3165,2025-04-07,2025-10-24
1812.T,2599402,528656011,2.28,112.0,17.77,1.86,276.76,2642.11,10.19,36.4,491700,100,4975,2025-10-24,2573,2025-01-15,2025-10-24
1813.T,46830,16489522,2.46,70.0,16.21,1.26,175.22,2250.65,6.57,53.3,284000,100,2926,2025-10-24,1896,2025-04-07,2025-10-24
1814.T,33966,10614225,3.38,108.0,14.86,1.46,346.52,2193.8,9.05,41.4,320000,100,3200,2025-10-24,1575,2025-04-07,2025-10-24
1815.T,55329,14973956,3.52,130.0,14.3,0.72,258.43,5107.88,4.84,31.0,369500,100,3695,2025-10-24,2085,2025-04-07,2025-10-24
1820.T,226928,41791502,4.05,220.0,12.18,1.28,445.9,4253.99,10.29,29.1,543000,100,5500,2025-05-12,4180,2025-04-07,2025-10-24
1821.T,97116,162673321,,,,1.38,,431.07,1.22,17.8,59700,100,608,2025-05-15,375,2025-04-07,2025-10-24
1822.T,73146,90415815,3.96,32.0,17.84,1.04,45.36,777.37,5.31,47.7,80900,100,891,2025-08-07,641,2025-01-06,2025-10-24
1826.T,17384,15521233,5.36,60.0,21.44,1.18,52.23,949.17,3.97,56.5,112000,100,1296,2025-09-05,920,2025-04-07,2025-10-24
1827.T,31566,34498097,2.4,22.0,12.09,0.74,75.66,1238.58,6.96,53.1,91500,100,919,2025-09-26,578,2025-04-07,2025-10-24
1833.T,192166,38665226,4.43,220.0,15.79,1.02,314.82,4885.22,1.49,45.1,497000,100,5010,2025-08-07,3745,2025-01-17,2025-10-24
1835.T,156313,36100000,3.23,140.0,12.42,1.25,348.5,3458.93,10.05,66.0,433000,100,4560,2025-09-04,2652,2025-04-07,2025-10-24
1847.T,27571,7284400,3.7,140.0,7.85,0.8,482.17,4755.14,13.79,50.4,378500,100,3785,2025-10-22,2402,2025-04-07,2025-10-24
1848.T,9673,18602244,2.69,14.0,11.77,0.75,44.18,694.66,19.26,32.6,52000,100,606,2025-09-11,383,2025-01-30,2025-10-24
1852.T,71577,80786290,4.68,41.5,14.97,1.61,59.17,548.64,10.05,39.7,88600,100,931,2025-10-20,622,2025-01-17,2025-10-24
1860.T,345243,322656796,3.74,40.0,15.29,0.95,69.98,1126.56,7.29,37.1,107000,100,1079,2025-09-09,758,2025-04-07,2025-10-24
1861.T,246728,173142240,2.81,40.0,15.89,1.39,89.69,1025.9,5.17,39.3,142500,100,1428,2025-10-24,899,2025-04-07,2025-10-24
1866.T,31228,25347412,2.23,27.5,11.97,0.65,102.9,1907.32,7.53,61.7,123200,100,1350,2025-09-29,776,2025-04-07,2025-10-24
1867.T,17204,6873528,3.6,90.0,9.66,0.57,259.1,4392.12,6.88,57.0,250300,100,2553,2025-08-22,1543,2025-01-17,2025-10-24
1870.T,100545,44607457,3.99,90.0,14.7,1.39,153.38,1617.63,8.34,47.7,225400,100,2323,2025-09-26,1170,2025-04-07,2025-10-24
1871.T,87089,47486029,4.36,80.0,13.83,1.5,132.61,1222.08,14.93,44.2,183400,100,1954,2025-08-07,1125,2025-01-06,2025-10-24
1873.T,12240,40000000,3.59,11.0,17.49,0.58,17.5,529.7,5.33,51.1,30600,100,360,2025-03-28,284,2025-06-23,2025-10-24
1878.T,1073069,344594895,4.4,137.0,11.47,2.24,271.54,1391.09,21.6,38.1,311400,100,3548,2025-01-06,2875,2025-04-07,2025-10-24
1879.T,112597,61360720,3.05,56.0,8.19,0.87,223.97,2106.17,10.89,70.7,183500,100,1975,2025-09-09,1311,2025-04-07,2025-10-24
187A.T,168807,51309061,0.0,0.0,13.07,1.44,251.81,2289.68,,,329000,100,3300,2024-10-16,2246,2024-08-05,2025-01-29
1882.T,79724,50394730,5.69,90.0,17.81,1.44,88.82,1100.68,7.5,61.1,158200,100,1730,2025-09-09,1240,2025-01-17,2025-10-24
1884.T,110393,43946340,,,18.1,1.07,138.82,2342.17,6.18,66.7,251200,100,2535,2025-05-14,1711,2025-04-07,2025-10-09
1885.T,207717,87978516,3.22,76.0,14.94,1.81,157.98,1304.92,14.75,35.6,236100,100,2453,2025-10-24,1067,2025-04-07,2025-10-24
1887.T,50429,89255000,3.89,22.0,22.5,0.67,25.11,841.14,1.98,47.1,56500,100,573,2025-10-22,432,2025-04-07,2025-10-24
1888.T,67288,12964993,2.52,131.0,17.83,1.41,291.15,3692.05,7.83,52.6,519000,100,6170,2025-08-26,3375,2025-02-21,2025-10-24
1890.T,164300,94371183,0.0,0.0,19.24,2.28,90.48,764.39,10.71,42.7,174100,100,1821,2025-08-07,1137,2025-04-07,2025-10-24
1893.T,397559,286013910,2.45,34.0,15.58,2.24,89.24,619.73,7.22,26.1,139000,100,1403,2025-10-24,623,2025-02-10,2025-10-24
1898.T,55463,37424507,4.72,70.0,13.91,1.34,106.53,1104.99,9.45,50.5,148200,100,1616,2025-09-08,1298,2025-04-07,2025-10-24
1899.T,63007,8988111,2.85,200.0,13.5,0.68,519.39,10330.15,6.46,59.3,701000,100,7090,2025-09-29,4375,2025-04-07,2025-10-24
1909.T,58819,7181812,1.1,90.0,13.72,2.07,596.92,3959.24,16.53,50.3,819000,100,8640,2025-10-17,3070,2025-04-07,2025-10-24
1911.T,1098864,618555804,2.81,50.0,11.36,1.24,156.45,1436.08,13.92,40.7,177650,100,1841,2025-01-28,1221,2025-04-07,2025-10-24
1914.T,18782,29346400,3.44,22.0,12.41,0.53,51.57,1208.91,6.41,72.2,64000,100,722,2025-03-07,547,2025-04-07,2025-10-24
1921.T,66240,40763046,1.48,24.0,28.55,0.96,56.92,1690.79,26.1,53.5,162500,100,1642,2025-10-07,935,2025-01-14,2025-10-24
1925.T,3542246,659636182,3.17,170.0,12.17,1.27,441.33,4213.09,12.87,37.1,537000,100,5549,2025-09-09,4579,2025-01-17,2025-10-24
1926.T,147315,45467550,3.3,107.0,15.03,1.68,215.56,1930.45,11.14,71.9,324000,100,3410,2025-09-16,2141,2025-01-21,2025-10-24
1928.T,2272520,663122166,4.2,144.0,9.57,1.17,357.95,2921.99,11.71,40.8,342700,100,3821,2025-01-06,2906,2025-04-07,2025-10-24
1929.T,52511,41774899,3.9,49.0,15.67,1.56,80.24,806.73,7.06,60.4,125700,100,1386,2025-09-08,909,2025-04-07,2025-10-24
1930.T,43687,29963991,3.02,44.0,14.07,0.94,103.61,1555.24,7.43,72.3,145800,100,1570,2025-09-16,976,2025-04-07,2025-10-24
1934.T,187993,69191462,2.65,72.0,15.29,1.29,177.68,2112.41,8.26,63.2,271700,100,2835,2025-09-26,1423,2025-04-07,2025-10-24
1938.T,52132,25617717,4.03,82.0,11.99,0.81,169.69,2508.89,7.66,67.3,203500,100,2120,2025-08-07,1255,2025-01-16,2025-10-24
1939.T,67200,48766410,4.72,65.0,13.03,1.01,105.76,1359.46,8.18,65.1,137800,100,1637,2025-01-06,1076,2025-04-07,2025-10-24
1941.T,231099,58138117,3.27,130.0,13.62,0.95,291.82,4176.03,9.09,77.1,397500,100,4080,2025-09-26,2882,2025-04-07,2025-10-24
1942.T,932420,205288338,1.98,90.0,20.18,2.49,225.05,1826.15,12.08,61.0,454200,100,4564,2025-10-24,2171,2025-01-28,2025-10-24
1944.T,1057158,199954180,1.89,100.0,20.17,1.77,262.17,2989.28,8.06,72.9,528700,100,5418,2025-08-12,2934,2025-01-14,2025-10-24
1945.T,61134,34973752,3.26,57.0,17.13,0.85,102.07,2064.68,4.23,63.3,174800,100,1898,2025-08-07,915,2025-04-07,2025-10-24
1946.T,141882,96649950,3.54,52.0,11.35,1.01,129.29,1459.34,8.04,44.0,146800,100,1507,2025-10-24,796,2025-04-07,2025-10-24
1949.T,259429,35635879,2.14,156.0,19.7,2.26,369.53,3216.44,11.66,57.6,728000,100,7280,2025-10-24,4065,2025-04-07,2025-10-24
1950.T,172981,61537219,3.27,92.0,12.28,0.85,228.87,3289.02,6.92,66.0,281100,100,2960,2025-08-07,1800,2025-04-07,2025-10-24
1951.T,466068,208624838,2.95,66.0,15.35,1.46,145.53,1530.41,8.47,50.0,223400,100,2242,2025-10-24,1502,2025-04-07,2025-10-24
1952.T,146907,48564450,2.64,80.0,15.58,1.99,194.18,1520.35,14.33,58.6,302500,100,3400,2025-08-08,1451,2025-04-07,2025-10-24
1959.T,537723,70864961,2.37,180.0,16.77,1.72,452.42,4420.75,9.65,63.5,758800,100,7623,2025-10-23,4209,2025-04-07,2025-10-24
1961.T,276892,53661156,3.2,165.0,13.7,2.6,376.59,1985.05,16.33,52.9,516000,100,5430,2025-09-12,2805,2025-04-07,2025-10-24
1963.T,418527,259793008,2.48,40.0,25.95,1.03,62.07,1571.38,-0.1,49.8,161100,100,1658,2025-10-22,941,2025-04-07,2025-10-24
1964.T,38103,7800000,3.07,150.0,12.71,1.31,384.3,3717.8,10.73,58.1,488500,100,4900,2025-10-23,2723,2025-04-07,2025-10-24
1967.T,49148,24127652,2.31,47.0,13.3,1.24,153.2,1647.92,10.03,69.9,203700,100,2206,2025-09-11,1150,2025-04-07,2025-10-24
1968.T,139845,65195940,3.12,67.0,12.73,1.2,168.53,1790.67,9.16,73.3,214500,100,2350,2025-08-07,1352,2025-04-07,2025-10-24
1969.T,606166,140478804,2.02,87.0,19.81,3.18,217.83,1357.69,16.02,53.9,431500,100,4584,2025-09-01,2458,2025-04-07,2025-10-24
1972.T,29918,19800000,4.57,69.0,10.95,1.13,137.98,1341.43,11.3,65.4,151100,100,1734,2025-09-08,834,2025-01-17,2025-10-24
1973.T,490521,149321421,0.85,28.0,27.19,3.15,120.83,1043.18,10.44,53.5,328500,100,3420,2025-01-29,2139,2024-06-06,2025-03-19
1975.T,83096,27200000,3.27,100.0,12.29,1.92,248.49,1594.86,15.42,52.0,305500,100,3280,2025-10-08,1620,2025-04-07,2025-10-24
1976.T,91384,55117218,3.62,60.0,12.73,1.17,130.26,1414.47,12.81,77.4,165800,100,1707,2025-09-09,1086,2025-04-07,2025-10-24
1979.T,201022,67164018,3.14,94.0,16.13,1.33,185.58,2246.4,7.55,55.2,299300,100,3005,2025-09-09,1999,2025-04-07,2025-10-24
1980.T,303361,45963802,2.5,165.0,16.08,2.61,410.35,2528.78,17.38,49.7,660000,100,6670,2025-10-23,2917,2025-04-07,2025-10-24
1982.T,103815,23756321,2.29,100.0,15.91,1.36,274.66,3223.35,8.48,70.6,437000,100,4700,2025-08-22,2686,2025-04-07,2025-10-24
2001.T,189704,84727163,2.95,66.0,8.98,0.73,249.33,3076.53,10.62,60.7,223900,100,2405,2025-09-26,2090,2025-06-26,2025-10-24
2002.T,525219,290657891,3.32,60.0,13.42,1.07,134.61,1686.28,7.04,61.4,180700,100,1903,2025-04-23,1642,2025-04-07,2025-10-24
2003.T,66632,9384728,3.94,280.0,15.39,1.32,461.28,5371.73,7.17,78.4,710000,100,7770,2025-05-23,5810,2025-04-07,2025-10-24
2004.T,101626,32995420,3.25,100.0,10.53,0.73,292.56,4195.53,8.77,52.8,308000,100,3165,2025-09-26,2570,2025-04-07,2025-10-24
2009.T,28588,26036374,4.01,44.0,25.31,0.73,43.38,1509.45,2.7,79.1,109800,100,1099,2025-10-20,704,2025-01-17,2025-10-24
2053.T,52392,30371908,3.48,60.0,12.42,0.75,138.89,2302.15,5.27,66.4,172500,100,1858,2025-08-20,1191,2025-04-07,2025-10-24
2060.T,41017,38477128,3.94,42.0,7.84,0.73,136.04,1458.59,10.27,44.0,106600,100,1162,2025-08-20,762,2025-01-23,2025-10-24
2107.T,11310,5456000,,,,1.04,,1993.1,2.21,82.0,207300,100,2090,2025-04-17,1435,2025-01-17,2025-05-30
2108.T,46207,15325642,2.65,80.0,20.29,0.51,148.57,5872.99,3.69,72.9,301500,100,3035,2025-10-24,2021,2025-04-07,2025-10-24
2109.T,100845,31464780,4.06,130.0,13.19,0.9,243.01,3559.53,5.55,56.7,320500,100,3665,2025-03-10,3005,2025-06-25,2025-10-24
2112.T,17465,35000000,3.01,15.0,5.71,0.81,87.44,614.69,14.09,56.5,49900,100,525,2025-10-23,272,2025-04-07,2025-10-24
2117.T,85969,32800095,4.12,108.0,14.49,1.17,180.89,2242.41,7.73,66.1,262100,100,2709,2025-09-17,2100,2025-04-07,2025-10-24
2120.T,26204,134380704,3.76,7.33,5.95,0.98,32.8,198.38,-29.87,58.5,19500,100,240,2025-08-22,120,2025-04-07,2025-10-24
2121.T,225762,71330850,3.79,120.0,16.46,1.22,192.25,2604.55,9.99,79.4,316500,100,3945,2025-02-14,2830,2025-01-14,2025-10-24
2124.T,171517,165557200,3.38,35.0,21.05,8.9,49.22,116.35,31.78,69.6,103600,100,1179,2025-08-22,645,2025-02-07,2025-10-24
2127.T,267459,336934800,3.65,29.0,22.89,5.75,34.68,137.99,24.06,76.4,79380,100,811,2025-09-02,483,2025-04-07,2025-10-24
2130.T,16457,13423300,2.69,33.0,19.57,2.93,62.66,418.92,6.01,49.3,122600,100,1334,2025-08-15,876,2025-04-07,2025-10-24
2139.T,2994,7044000,2.82,12.0,12.04,1.51,35.29,281.18,8.22,39.9,42500,100,477,2025-07-28,392,2025-04-07,2025-10-24
2146.T,110306,39908183,,,13.98,4.15,197.76,666.78,31.67,44.1,276400,100,2836,2025-09-17,1557,2025-04-07,2025-10-24
2148.T,33839,21070600,6.23,100.0,20.79,4.06,77.26,395.65,15.6,85.3,160600,100,1738,2025-02-14,1266,2025-04-07,2025-10-24
2150.T,52731,46872000,0.0,0.0,32.11,4.52,35.04,248.73,10.18,79.0,112500,100,1155,2025-08-28,513,2025-01-14,2025-10-24
2153.T,31244,18378920,4.06,69.0,8.81,0.86,193.02,1970.68,9.61,65.5,170000,100,1880,2025-08-07,1411,2025-04-07,2025-10-24
2154.T,158284,91812102,4.93,85.0,12.7,1.9,135.76,907.03,16.52,64.2,172400,100,1979,2025-08-12,1481,2025-04-07,2025-10-24
2157.T,104140,83781480,2.09,26.0,13.66,2.92,90.99,425.81,16.07,51.2,124300,100,1484,2025-09-16,921,2025-04-10,2025-10-24
2163.T,20958,10627920,4.26,84.0,16.45,4.16,119.9,473.58,28.07,70.4,197200,100,2134,2025-01-07,1524,2025-04-07,2025-10-24
2168.T,78934,40190300,3.82,75.0,149.81,0.57,13.11,3431.94,-6.11,50.9,196400,100,2498,2025-06-03,1861,2025-04-07,2025-10-24
2169.T,12519,6924400,4.09,74.0,19.63,1.38,92.09,1308.57,12.29,78.1,180800,100,1880,2025-04-28,1721,2025-01-30,2025-10-24
2170.T,56467,110937011,3.14,16.0,13.97,4.38,36.43,116.32,34.41,34.0,50900,100,626,2025-08-19,427,2025-04-07,2025-10-24
2175.T,138347,87561600,,,18.78,2.98,84.14,529.96,13.29,61.5,158000,100,1758,2025-01-28,979,2025-04-07,2025-10-24
2180.T,11398,15197600,3.2,24.0,9.9,2.46,75.74,304.55,22.26,43.7,75000,100,835,2025-09-04,428,2025-04-07,2025-10-24
2181.T,596039,2278437810,4.2,11.0,14.0,3.04,18.69,86.03,18.78,35.1,26160,100,305,2025-08-08,221,2025-04-07,2025-10-24
2183.T,8412,24740000,4.71,16.0,51.2,1.15,6.64,296.07,-6.96,43.2,34000,100,367,2025-01-08,258,2025-04-07,2025-10-24
2193.T,18263,107429400,0.0,0.0,,1.03,,164.7,9.74,90.7,17000,100,233,2025-07-22,129,2025-03-11,2025-10-24
2196.T,2785,13786500,0.0,0.0,22.75,0.46,8.88,439.8,5.02,29.4,20200,100,407,2025-05-28,139,2025-04-07,2025-10-24
2198.T,23935,29956800,3.0,24.0,20.75,2.2,38.5,362.85,16.53,51.1,79900,100,854,2025-03-26,743,2025-01-17,2025-10-24
2201.T,231382,86111638,2.42,65.0,12.78,1.82,210.28,1477.69,13.52,62.3,268700,100,2739,2025-09-09,2326,2025-06-18,2025-10-24
2204.T,18317,5976205,2.28,70.0,34.05,0.68,90.02,4521.32,3.3,62.1,306500,100,3365,2025-04-24,2989,2025-04-07,2025-10-24
2206.T,339330,68468569,1.92,95.0,39.44,1.19,125.66,4179.07,3.04,72.0,495600,100,5445,2025-09-18,4348,2025-04-07,2025-10-24
2207.T,36826,17289308,2.11,45.0,12.88,0.65,165.41,3291.58,8.91,65.9,213000,100,2302,2025-09-12,1816,2025-04-07,2025-10-24
2209.T,32912,13086200,1.43,36.0,14.3,1.47,175.82,1712.72,10.2,60.3,251500,100,2630,2025-09-10,2150,2025-04-07,2025-10-24
2211.T,67762,25784659,1.14,30.0,37.63,1.18,69.83,2227.07,2.94,64.0,262800,100,2655,2025-01-06,2218,2025-04-07,2025-10-24
2212.T,697416,220282860,1.58,50.0,16.49,1.48,191.98,2133.78,8.87,47.6,316600,100,3587,2025-08-20,2460,2025-02-17,2025-10-24
2215.T,4276,6929900,0.0,0.0,9.49,0.53,65.0,1173.99,28.81,51.0,61700,100,673,2025-01-08,478,2025-04-07,2025-10-24
2217.T,33174,21265356,0.9,14.0,54.37,1.62,28.69,962.86,7.21,76.1,156000,100,1875,2025-04-24,1509,2025-10-14,2025-10-24
2220.T,88940,22318650,1.46,58.0,3.47,0.91,1147.83,4391.08,7.44,61.0,398500,100,4605,2025-08-04,3600,2025-06-26,2025-10-24
2222.T,290381,155658402,1.88,35.0,21.49,7.69,86.81,242.59,32.19,77.1,186550,100,2591,2025-02-04,1793,2025-10-10,2025-10-24
2229.T,390004,133929800,2.06,60.0,17.75,1.81,164.08,1609.24,10.52,64.3,291200,100,3152,2025-01-06,2600,2025-08-01,2025-10-24
2264.T,305870,89045086,2.71,93.0,15.07,1.08,227.9,3172.89,2.01,51.2,343500,100,3626,2025-04-22,2705,2025-02-12,2025-10-24
2266.T,26000,21452125,1.65,20.0,19.68,0.77,61.59,1582.21,3.42,60.0,121200,100,1340,2025-09-01,1125,2025-02-21,2025-10-24
2267.T,788133,331985236,2.78,66.0,15.37,1.28,154.41,1861.47,8.11,66.4,237400,100,3141,2025-03-18,2313,2025-10-02,2025-10-24
2269.T,846177,282200000,3.5,105.0,15.04,1.09,199.34,2739.21,6.8,63.2,299850,100,3628,2025-05-07,2871,2025-02-10,2025-10-24
2270.T,208506,70751855,3.39,100.0,6.42,0.81,458.96,3644.05,5.83,56.8,294700,100,3095,2025-09-17,2395,2025-04-07,2025-10-24
2281.T,117065,50524399,3.45,80.0,14.56,0.98,159.16,2374.56,5.93,49.8,231700,100,2583,2025-07-29,2012,2025-04-07,2025-10-24
2282.T,572868,99095004,2.7,156.0,19.07,1.1,303.21,5271.91,5.06,55.2,578100,100,6067,2025-10-08,4388,2025-02-18,2025-10-24
2286.T,6460,8910000,2.07,15.0,7.66,0.52,94.69,1404.17,9.22,42.7,72500,100,731,2025-10-24,425,2025-04-07,2025-10-24
2288.T,50202,26505581,2.9,55.0,9.66,0.69,196.08,2733.92,8.56,54.7,189400,100,2104,2025-09-25,1554,2025-04-07,2025-10-24
2292.T,82734,32267721,4.06,104.0,18.04,0.66,142.14,3893.87,2.22,52.8,256400,100,2799,2025-09-09,2221,2025-04-07,2025-10-24
2294.T,32996,12446700,3.21,85.0,29.87,1.77,88.74,1501.67,4.29,78.4,265100,100,3185,2025-03-28,2573,2025-06-13,2025-10-24
2296.T,320114,57471011,5.75,320.0,18.06,1.1,308.46,5071.98,4.59,61.1,557000,100,5880,2025-09-09,3675,2025-02-21,2025-10-24
2301.T,27137,15560000,3.84,67.0,13.74,1.71,126.91,1021.3,16.09,86.4,174400,100,2298,2025-01-29,1514,2025-04-07,2025-10-24
2305.T,35317,17185650,2.43,50.0,24.07,1.21,85.38,1692.61,4.59,72.2,205500,100,2178,2025-08-20,1948,2025-04-07,2025-10-24
2307.T,19046,17005674,3.04,34.0,11.65,2.81,96.12,398.96,24.07,55.6,112000,100,1313,2025-02-21,830,2025-04-07,2025-10-24
2311.T,7509,9316000,3.97,32.0,14.66,1.61,54.98,499.96,7.02,79.8,80600,100,935,2025-09-05,630,2025-04-07,2025-10-24
2317.T,215069,425880000,2.38,12.0,19.2,5.49,26.3,92.01,24.03,62.7,50500,100,535,2025-09-30,312,2025-04-07,2025-10-24
2325.T,54862,10048000,1.83,100.0,22.11,1.81,246.9,3021.43,8.36,83.9,546000,100,6750,2025-09-03,3155,2025-01-14,2025-10-24
2326.T,110379,14133000,1.22,95.0,25.24,6.22,309.42,1254.98,19.1,76.6,781000,100,8280,2025-07-31,5600,2025-01-23,2025-10-24
2327.T,673081,183002000,2.18,80.0,23.05,2.6,159.59,1416.31,10.86,62.0,367800,100,4408,2025-02-17,3259,2025-04-30,2025-10-24
2331.T,548465,510200210,2.53,27.2,17.73,1.54,60.63,698.06,7.94,59.1,107500,100,1192,2025-09-16,987,2025-05-14,2025-10-24
2335.T,18207,15750000,3.63,42.0,14.27,1.6,81.02,720.39,12.01,75.7,115600,100,1245,2025-08-21,900,2025-04-07,2025-10-24
2337.T,168471,445689218,3.04,11.5,9.91,1.39,38.15,272.09,14.09,27.3,37800,100,445,2025-09-08,331,2025-04-07,2025-10-24
2353.T,96506,348398600,3.25,9.0,15.53,4.63,17.84,59.85,27.74,38.3,27700,100,304,2025-09-10,198,2025-02-21,2025-10-24
2359.T,31850,14834580,2.79,60.0,12.34,1.68,174.02,1280.45,12.63,73.6,214700,100,2206,2025-09-26,1473,2025-04-07,2025-10-24
