ticker,market_cap_mil_jpy,shares_outstanding,dividend_yield_pct,dividend_per_share_yen,per,pbr,eps_yen,bps_yen,roe_pct,equity_ratio_pct,min_lot_price_yen,trading_unit_shares,ytd_high_yen,ytd_high_date,ytd_low_yen,ytd_low_date,asof_date
9612.T,12643,10397100,,,,1.22,,995.54,-4.96,36.4,121600,100,1915,2025-02-18,960,2025-06-23,2025-10-24
9613.T,5560913,1402500000,,,27.79,3.04,142.67,1303.33,8.03,23.5,396500,100,4021,2025-06-20,2310,2025-04-07,2025-09-25
9616.T,260338,86779363,1.53,46.0,13.01,2.32,230.56,1294.96,15.66,33.0,300000,100,3785,2025-07-14,2710,2025-04-07,2025-10-24
9619.T,48261,23762227,3.59,73.0,7.73,0.73,262.78,2787.19,10.65,31.5,203100,100,2064,2025-09-26,1401,2025-04-07,2025-10-24
9621.T,83312,28318172,2.55,75.0,12.97,1.3,226.86,2265.97,11.6,70.1,294200,100,3275,2025-08-12,2044,2025-04-07,2025-10-24
9622.T,37214,26600319,4.29,60.0,12.25,1.03,114.24,1364.06,8.07,79.6,139900,100,1449,2025-09-25,976,2025-04-07,2025-10-24
9627.T,234464,35428212,1.21,80.0,17.2,1.63,384.79,4048.46,6.67,45.7,661800,100,7072,2025-09-12,4175,2025-01-15,2025-10-24
9628.T,36570,23000000,3.58,57.0,9.24,0.87,172.0,1819.5,13.48,59.0,159000,100,1670,2025-08-07,1007,2025-02-03,2025-10-24
9629.T,43406,22000000,4.82,95.0,20.86,2.25,94.6,875.16,9.23,54.5,197300,100,2179,2025-01-06,1524,2025-04-07,2025-10-24
9632.T,46984,13310000,2.27,80.0,15.03,1.23,234.87,2862.68,9.39,87.0,353000,100,3745,2025-09-08,2625,2025-04-07,2025-10-24
9633.T,11290,8013000,0.71,10.0,16.19,0.6,87.01,2350.56,21.54,53.7,140900,100,1432,2025-09-02,1000,2025-04-07,2025-10-24
9644.T,23188,34000000,3.81,26.0,20.81,2.17,32.78,314.81,9.43,74.3,68200,100,808,2025-04-25,504,2025-04-07,2025-10-24
9658.T,36007,11615200,2.87,89.0,13.11,1.16,236.4,2673.74,8.5,64.3,310000,100,3140,2025-05-12,2041,2025-01-17,2025-10-24
9663.T,103050,16357214,1.59,100.0,24.61,1.57,255.96,4005.5,6.94,88.4,630000,100,7410,2025-01-06,5060,2025-04-07,2025-10-24
9672.T,161083,28764854,1.96,110.0,15.16,1.59,369.45,3518.42,10.92,74.4,560000,100,5780,2025-10-20,3885,2025-04-07,2025-10-24
9675.T,14473,8808778,,,9.75,1.15,168.52,1430.36,9.52,22.0,164300,100,1689,2024-09-10,998,2024-08-05,2025-02-18
9678.T,145090,38742241,2.4,90.0,12.48,0.91,300.15,4095.65,6.57,43.4,374500,100,3775,2025-10-24,2698,2025-04-07,2025-10-24
9682.T,215601,163954928,2.66,35.0,19.38,3.76,67.87,349.56,17.68,72.2,131500,100,1352,2025-10-08,851,2025-04-07,2025-10-24
9684.T,1142485,367594788,1.38,43.0,39.03,3.41,79.64,911.73,7.49,80.7,310800,100,3862,2025-08-18,2023,2025-01-24,2025-10-24
9692.T,82757,36059600,2.83,65.0,14.5,1.8,158.28,1276.62,9.96,76.7,229500,100,2476,2025-09-12,1757,2025-02-26,2025-10-24
9697.T,2282354,533011246,0.93,40.0,35.12,7.67,121.93,557.98,23.01,72.3,428200,100,5015,2025-07-01,3226,2025-01-17,2025-10-24
9699.T,127904,28391464,2.84,128.0,10.6,0.92,425.04,4880.35,9.12,45.5,450500,100,4780,2025-01-06,3415,2025-04-07,2025-10-24
9702.T,20634,11463141,3.06,55.0,12.19,1.51,147.64,1195.5,16.05,68.2,180000,100,1855,2025-09-30,1141,2025-04-07,2025-10-24
9704.T,16621,281708934,0.0,0.0,44.36,3.52,1.33,16.78,3.03,18.0,5900,100,120,2025-03-24,47,2025-01-06,2025-10-24
9706.T,462653,93145400,1.81,90.0,18.81,2.44,264.0,2037.22,15.45,39.9,496700,100,5310,2025-01-23,3552,2025-04-09,2025-10-24
9715.T,159662,43863116,2.97,108.0,11.86,1.18,306.89,3084.93,9.98,57.0,364000,100,3775,2025-08-01,2825,2025-04-07,2025-10-24
9716.T,127450,119896588,3.76,40.0,13.95,2.14,76.19,495.76,12.92,53.0,106300,100,1087,2025-09-08,704,2025-04-07,2025-10-24
